name,category
Walmart,Retailing
Exxon Mobil,Energy
Chevron,Energy
Berkshire Hathaway,Financials
Apple,Technology
General Motors,Motor Vehicles & Parts
Phillips 66,Energy
General Electric,Financials
Ford Motor,Motor Vehicles & Parts
CVS Health,Food & Drug Stores
McKesson,Wholesalers
AT&T,Telecommunications
Valero Energy,Energy
UnitedHealth Group,Health Care
Verizon,Telecommunications
AmerisourceBergen,Wholesalers
Fannie Mae,Financials
Costco,Retailing
HP,Technology
Kroger,Food & Drug Stores
JP Morgan Chase,Financials
Express Scripts Holding,Health Care
Bank of America Corp.,Financials
IBM,Technology
Marathon Petroleum,Energy
Cardinal Health,Wholesalers
Boeing,Aerospace & Defense
Citigroup,Financials
Amazon.com,Technology
Wells Fargo,Financials
Microsoft,Technology
Procter & Gamble,Household Products
Home Depot,Retailing
Archer Daniels Midland,"Food, Beverages & Tobacco"
Walgreens,Food & Drug Stores
Target,Retailing
Johnson & Johnson,Health Care
Anthem,Health Care
MetLife,Financials
Alphabet,Technology
State Farm Insurance Cos.,Financials
Freddie Mac,Financials
Comcast,Telecommunications
PepsiCo,"Food, Beverages & Tobacco"
United Technologies,Aerospace & Defense
AIG,Financials
UPS,Transportation
Dow Chemical,Chemicals
Aetna,Health Care
Lowe's,Retailing
ConocoPhillips,Energy
Intel,Technology
Energy Transfer Equity,Energy
Caterpillar,Industrials
Prudential Financial,Financials
Pfizer,Health Care
Walt Disney,Media
Humana,Health Care
Enterprise Products Partners,Energy
Cisco Systems,Technology
Sysco,Wholesalers
Ingram Micro,Wholesalers
Coca-Cola,"Food, Beverages & Tobacco"
Lockheed Martin,Aerospace & Defense
FedEx,Transportation
Johnson Controls,Motor Vehicles & Parts
Plains GP Holdings,Energy
World Fuel Services,Wholesalers
CHS,"Food, Beverages & Tobacco"
American Airlines Group,Transportation
Merck,Health Care
Best Buy,Retailing
Delta Air Lines,Transportation
Honeywell International,Industrials
HCA Holdings,Health Care
Goldman Sachs Group,Financials
Tesoro,Energy
Liberty Mutual Insurance Group,Financials
United Continental Holdings,Transportation
New York Life Insurance,Financials
Oracle,Technology
Morgan Stanley,Financials
Tyson Foods,"Food, Beverages & Tobacco"
Safeway,Food & Drug Stores
Nationwide,Financials
Deere,Industrials
DuPont,Chemicals
American Express,Financials
Allstate,Financials
Cigna,Health Care
Mondelez International,"Food, Beverages & Tobacco"
TIAA-CREF,Financials
INTL FCStone,Financials
Massachusetts Mutual Life Insurance,Financials
DirecTV,Telecommunications
Halliburton,Energy
Twenty-First Century Fox,Media
3M,Household Products
Sears Holdings,Retailing
General Dynamics,Aerospace & Defense
Publix Super Markets,Food & Drug Stores
Philip Morris International,"Food, Beverages & Tobacco"
TJX,Retailing
Time Warner,Media
Macy's,Retailing
Nike,Apparel
Tech Data,Wholesalers
Avnet,Wholesalers
Northwestern Mutual,Financials
McDonald's,"Hotels, Resturants & Leisure"
Exelon,Energy
Travelers Cos.,Financials
Qualcomm,Technology
International Paper,Materials
Occidental Petroleum,Energy
Duke Energy,Energy
Rite Aid,Food & Drug Stores
Gilead Sciences,Health Care
Baker Hughes,Energy
Emerson Electric,Industrials
EMC,Technology
USAA,Financials
Union Pacific,Transportation
Northrop Grumman,Aerospace & Defense
Alcoa,Materials
Capital One Financial,Financials
National Oilwell Varco,Energy
US Foods,Wholesalers
Raytheon,Aerospace & Defense
Time Warner Cable,Telecommunications
Arrow Electronics,Wholesalers
Aflac,Financials
Staples,Retailing
Abbott Laboratories,Health Care
Community Health Systems,Health Care
Fluor,Engineering & Construction
Freeport-McMoRan,Energy
