Title,Category
Guardians of the Galaxy,"Action,Adventure,Sci-Fi"
Prometheus,"Adventure,Mystery,Sci-Fi"
Split,"Horror,Thriller"
Sing,"Animation,Comedy,Family"
Suicide Squad,"Action,Adventure,Fantasy"
The Great Wall,"Action,Adventure,Fantasy"
La La Land,"Comedy,Drama,Music"
Mindhorn,Comedy
The Lost City of Z,"Action,Adventure,Biography"
Passengers,"Adventure,Drama,Romance"
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy"
Hidden Figures,"Biography,Drama,History"
Rogue One,"Action,Adventure,Sci-Fi"
Moana,"Animation,Adventure,Comedy"
Colossal,"Action,Comedy,Drama"
The Secret Life of Pets,"Animation,Adventure,Comedy"
Hacksaw Ridge,"Biography,Drama,History"
Jason Bourne,"Action,Thriller"
Lion,"Biography,Drama"
Arrival,"Drama,Mystery,Sci-Fi"
Gold,"Adventure,Drama,Thriller"
Manchester by the Sea,Drama
Hounds of Love,"Crime,Drama,Horror"
Trolls,"Animation,Adventure,Comedy"
Independence Day: Resurgence,"Action,Adventure,Sci-Fi"
Paris pieds nus,Comedy
Bahubali: The Beginning,"Action,Adventure,Drama"
Dead Awake,"Horror,Thriller"
Bad Moms,Comedy
Assassin's Creed,"Action,Adventure,Drama"
Why Him?,Comedy
Nocturnal Animals,"Drama,Thriller"
X-Men: Apocalypse,"Action,Adventure,Sci-Fi"
Deadpool,"Action,Adventure,Comedy"
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi"
Captain America: Civil War,"Action,Adventure,Sci-Fi"
Interstellar,"Adventure,Drama,Sci-Fi"
Doctor Strange,"Action,Adventure,Fantasy"
The Magnificent Seven,"Action,Adventure,Western"
5/25/77,"Comedy,Drama"
Sausage Party,"Animation,Adventure,Comedy"
Moonlight,Drama
Don't Fuck in the Woods,Horror
The Founder,"Biography,Drama,History"
Lowriders,Drama
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy"
Miss Sloane,"Drama,Thriller"
Fallen,"Adventure,Drama,Fantasy"
Star Trek Beyond,"Action,Adventure,Sci-Fi"
The Last Face,Drama
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy"
Underworld: Blood Wars,"Action,Adventure,Fantasy"
Mother's Day,"Comedy,Drama"
John Wick,"Action,Crime,Thriller"
The Dark Knight,"Action,Crime,Drama"
Silence,"Adventure,Drama,History"
Don't Breathe,"Crime,Horror,Thriller"
Me Before You,"Drama,Romance"
Their Finest,"Comedy,Drama,Romance"
Sully,"Biography,Drama"
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi"
The Autopsy of Jane Doe,"Horror,Mystery,Thriller"
The Girl on the Train,"Crime,Drama,Mystery"
Fifty Shades of Grey,"Drama,Romance,Thriller"
The Prestige,"Drama,Mystery,Sci-Fi"
Kingsman: The Secret Service,"Action,Adventure,Comedy"
Patriots Day,"Drama,History,Thriller"
Mad Max: Fury Road,"Action,Adventure,Sci-Fi"
Wakefield,Drama
Deepwater Horizon,"Action,Drama,Thriller"
The Promise,"Drama,History"
Allied,"Action,Drama,Romance"
A Monster Calls,"Drama,Fantasy"
Collateral Beauty,"Drama,Romance"
Zootopia,"Animation,Adventure,Comedy"
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy"
The Avengers,"Action,Sci-Fi"
Inglourious Basterds,"Adventure,Drama,War"
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy"
Ghostbusters,"Action,Comedy,Fantasy"
Inception,"Action,Adventure,Sci-Fi"
Captain Fantastic,"Comedy,Drama"
The Wolf of Wall Street,"Biography,Comedy,Crime"
Gone Girl,"Crime,Drama,Mystery"
Furious Seven,"Action,Crime,Thriller"
Jurassic World,"Action,Adventure,Sci-Fi"
Live by Night,"Crime,Drama"
Avatar,"Action,Adventure,Fantasy"
The Hateful Eight,"Crime,Drama,Mystery"
The Accountant,"Action,Crime,Drama"
Prisoners,"Crime,Drama,Mystery"
Warcraft,"Action,Adventure,Fantasy"
The Help,Drama
War Dogs,"Comedy,Crime,Drama"
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi"
The Nice Guys,"Action,Comedy,Crime"
Kimi no na wa,"Animation,Drama,Fantasy"
The Void,"Horror,Mystery,Sci-Fi"
Personal Shopper,"Drama,Mystery,Thriller"
The Departed,"Crime,Drama,Thriller"
Legend,"Biography,Crime,Drama"
Thor,"Action,Adventure,Fantasy"
The Martian,"Adventure,Drama,Sci-Fi"
Contratiempo,"Crime,Mystery,Thriller"
The Man from U.N.C.L.E.,"Action,Adventure,Comedy"
Hell or High Water,"Crime,Drama,Thriller"
The Comedian,Comedy
The Legend of Tarzan,"Action,Adventure,Drama"
All We Had,Drama
Ex Machina,"Drama,Mystery,Sci-Fi"
The Belko Experiment,"Action,Horror,Thriller"
12 Years a Slave,"Biography,Drama,History"
The Bad Batch,"Romance,Sci-Fi"
300,"Action,Fantasy,War"
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy"
Office Christmas Party,Comedy
The Neon Demon,"Horror,Thriller"
Dangal,"Action,Biography,Drama"
10 Cloverfield Lane,"Drama,Horror,Mystery"
Finding Dory,"Animation,Adventure,Comedy"
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family"
Divergent,"Adventure,Mystery,Sci-Fi"
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance"
Boyka: Undisputed IV,Action
The Dark Knight Rises,"Action,Thriller"
The Jungle Book,"Adventure,Drama,Family"
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi"
Nerve,"Adventure,Crime,Mystery"
Mamma Mia!,"Comedy,Family,Musical"
The Revenant,"Adventure,Drama,Thriller"
Fences,Drama
Into the Woods,"Adventure,Comedy,Drama"
The Shallows,"Drama,Horror,Thriller"
Whiplash,"Drama,Music"
Furious 6,"Action,Crime,Thriller"
The Place Beyond the Pines,"Crime,Drama,Thriller"
No Country for Old Men,"Crime,Drama,Thriller"
The Great Gatsby,"Drama,Romance"
Shutter Island,"Mystery,Thriller"
Brimstone,"Mystery,Thriller,Western"
Star Trek,"Action,Adventure,Sci-Fi"
Diary of a Wimpy Kid,"Comedy,Family"
The Big Short,"Biography,Comedy,Drama"
Room,Drama
Django Unchained,"Drama,Western"
Ah-ga-ssi,"Drama,Mystery,Romance"
The Edge of Seventeen,"Comedy,Drama"
Watchmen,"Action,Drama,Mystery"
Superbad,Comedy
Inferno,"Action,Adventure,Crime"
The BFG,"Adventure,Family,Fantasy"
The Hunger Games,"Adventure,Sci-Fi,Thriller"
White Girl,Drama
Sicario,"Action,Crime,Drama"
Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery"
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi"
Pacific Rim,"Action,Adventure,Sci-Fi"
"Crazy, Stupid, Love.","Comedy,Drama,Romance"
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy"
Hot Fuzz,"Action,Comedy,Mystery"
Mine,"Thriller,War"
Free Fire,"Action,Comedy,Crime"
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi"
Jack Reacher: Never Go Back,"Action,Adventure,Crime"
Casino Royale,"Action,Adventure,Thriller"
Twilight,"Drama,Fantasy,Romance"
Now You See Me 2,"Action,Adventure,Comedy"
Woman in Gold,"Biography,Drama,History"
13 Hours,"Action,Drama,History"
Spectre,"Action,Adventure,Thriller"
Nightcrawler,"Crime,Drama,Thriller"
Kubo and the Two Strings,"Animation,Adventure,Family"
